City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Kyra,RU,49.5776,111.9753,40.66,79,0,4.18,clear sky
70,Leeuwarden,NL,53.2014,5.8086,62.6,88,75,8.05,broken clouds
71,Provideniya,RU,64.3833,-173.3,39.29,80,45,12.33,scattered clouds
72,Faanui,PF,-16.4833,-151.75,77.74,72,47,18.57,light rain
73,Hilo,US,19.7297,-155.09,78.62,78,75,5.75,light rain
74,Sumter,US,28.7086,-82.0831,91.92,58,93,12.59,overcast clouds
75,Golspie,GB,57.9727,-3.978,56.55,84,95,3.94,overcast clouds
76,Aklavik,CA,68.2191,-135.0107,46.4,81,75,4.61,broken clouds
77,Upernavik,GL,72.7868,-56.1549,34.84,62,100,25.72,overcast clouds
78,Kargasok,RU,59.0556,80.8572,40.59,95,100,11.16,overcast clouds
79,Natal,BR,-5.795,-35.2094,84.85,61,75,18.41,broken clouds
80,Bethel,US,41.3712,-73.414,82.02,69,1,1.99,clear sky
81,Mataura,NZ,-46.1927,168.8643,43.48,97,100,5.5,overcast clouds
82,Kimbe,PG,-5.5502,150.1429,74.64,92,41,4.88,scattered clouds
83,Esperance,AU,-33.8667,121.9,45.75,77,6,10.92,clear sky
84,Dicabisagan,PH,17.0818,122.4157,78.33,84,100,8.19,overcast clouds
85,Kodiak,US,57.79,-152.4072,51.31,93,90,23.02,moderate rain
86,Hobart,AU,-42.8794,147.3294,44.46,90,90,3.0,overcast clouds
87,Taloda,IN,21.5667,74.2167,77.52,94,94,9.44,overcast clouds
88,Asau,RO,46.4333,26.4,58.12,57,84,2.71,light rain
89,Veraval,IN,20.9,70.3667,80.91,90,100,16.87,overcast clouds
90,Sitka,US,57.0531,-135.33,57.09,88,90,4.61,light rain
91,Dhidhdhoo,MV,6.8833,73.1,82.2,79,100,12.93,overcast clouds
92,Lima,PE,-12.0432,-77.0282,62.13,77,90,10.36,overcast clouds
93,Coahuayana,MX,18.7333,-103.6833,89.08,64,91,4.41,overcast clouds
94,Dong Hoi,VN,17.4833,106.6,77.45,90,100,4.59,overcast clouds
95,Nouadhibou,MR,20.931,-17.0347,82.38,78,91,10.36,overcast clouds
96,Bathsheba,BB,13.2167,-59.5167,87.04,81,40,6.91,scattered clouds
97,Namibe,AO,-15.1961,12.1522,65.66,92,27,10.71,scattered clouds
98,Ilulissat,GL,69.2167,-51.1,30.22,55,100,3.44,overcast clouds
99,Port Lincoln,AU,-34.7333,135.8667,51.75,60,20,14.14,few clouds
100,Chokurdakh,RU,70.6333,147.9167,43.11,75,88,8.77,overcast clouds
101,Qaqortoq,GL,60.7167,-46.0333,46.9,58,68,39.01,broken clouds
102,Mitu,CO,1.1983,-70.1733,84.27,68,71,1.36,broken clouds
103,Tiksi,RU,71.6872,128.8694,45.32,71,63,7.16,broken clouds
104,Dali,CN,25.7,100.1833,65.57,85,99,4.21,overcast clouds
105,Westport,US,41.1415,-73.3579,84.09,64,1,1.01,clear sky
106,Karratha,AU,-20.7377,116.8463,71.06,47,1,8.48,light rain
107,Kaitangata,NZ,-46.2817,169.8464,45.23,87,100,10.04,overcast clouds
108,Cidreira,BR,-30.1811,-50.2056,68.16,78,9,13.8,clear sky
109,Devils Lake,US,48.1128,-98.8651,60.94,68,90,3.0,overcast clouds
110,Vostok,RU,46.4856,135.8833,44.89,97,100,2.59,overcast clouds
111,Vardo,NO,70.3705,31.1107,44.58,81,40,13.8,scattered clouds
112,Caldwell,US,43.6629,-116.6874,74.17,46,1,0.0,clear sky
113,Kloulklubed,PW,7.0419,134.2556,75.7,74,100,17.02,overcast clouds
114,Wanaka,NZ,-44.7,169.15,42.62,95,100,5.41,overcast clouds
115,Lagoa,PT,39.05,-27.9833,69.04,77,80,24.72,broken clouds
116,Butaritari,KI,3.0707,172.7902,83.34,74,100,21.88,light rain
117,Carnarvon,AU,-24.8667,113.6333,60.87,77,0,14.97,clear sky
118,Dingle,PH,10.9995,122.6711,75.88,92,100,1.48,overcast clouds
119,Chuy,UY,-33.6971,-53.4616,66.74,75,100,10.85,overcast clouds
120,Usak,TR,38.5,29.4167,69.13,28,5,3.44,clear sky
121,Nelson Bay,AU,-32.7167,152.15,62.11,49,65,1.99,broken clouds
122,Honiara,SB,-9.4333,159.95,75.33,78,18,6.69,few clouds
123,Leh,IN,34.1667,77.5833,56.17,50,18,5.68,few clouds
124,Bilibino,RU,68.0546,166.4372,18.57,97,92,1.43,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,84.13,69,86,9.86,overcast clouds
126,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,77,100,21.85,overcast clouds
127,Bredasdorp,ZA,-34.5322,20.0403,56.52,72,60,5.75,broken clouds
128,Lock Haven,US,41.137,-77.4469,84.87,53,87,10.98,overcast clouds
129,Madang,PG,-5.2246,145.7966,76.8,92,90,0.56,overcast clouds
130,Sibut,CF,5.718,19.0739,71.94,97,70,3.51,broken clouds
131,Ankang,CN,32.68,109.0172,68.7,85,0,1.63,clear sky
132,Lebedinyy,RU,58.5167,125.5167,46.92,72,53,8.79,broken clouds
133,Samfya,ZM,-11.3649,29.5565,73.06,33,34,4.36,scattered clouds
134,Severo-Yeniseyskiy,RU,60.3725,93.0408,44.67,98,100,3.47,moderate rain
135,Neiafu,TO,-18.65,-173.9833,74.08,88,20,0.0,light rain
136,Tasiilaq,GL,65.6145,-37.6368,42.96,74,100,34.14,overcast clouds
137,Benin,BJ,9.5,2.25,76.46,88,84,3.71,broken clouds
138,Amapa,BR,1.0,-52.0,95.61,31,7,7.85,clear sky
